bp,diet
99.4395243534478,meat
99.76982251051672,meat
101.55870831414913,meat
100.07050839142458,meat
100.12928773516094,meat
101.71506498688328,meat
100.46091620598921,meat
98.73493876539347,meat
99.31314714810648,meat
99.55433802990004,meat
111.22408179743947,med
110.35981382705737,med
110.40077145059405,med
110.11068271594512,med
109.44415886524592,med
111.78691313680308,med
110.49785047822924,med
108.03338284337036,med
110.70135590156369,med
109.52720859227206,med
118.93217629401316,vegan
119.7820250853417,vegan
118.97399555169277,vegan
119.27110877070886,vegan
119.37496073215074,vegan
118.31330668925759,vegan
120.83778704449452,vegan
120.15337311783651,vegan
118.86186306298805,vegan
121.25381492106993,vegan
