age,mins_exercise,bp
38,62,122.79977770992132
68,32,133.57179866976946
45,55,121.85694314063026
73,27,157.02903426021686
77,23,135.113435215111
23,77,134.2470590664431
52,48,102.76870793654669
74,26,145.76920624454104
54,46,128.8578136576692
48,52,127.23912353115959
78,22,144.69459224139823
48,52,116.46514820336047
61,39,125.5018892449587
55,45,112.22136925339368
27,73,97.42313160286633
74,26,141.55292962106387
35,65,124.2231466794414
23,77,112.29506340095756
40,60,133.83401201819606
78,22,169.75127028440716
74,26,129.63453250915197
62,38,96.36246686538782
59,41,144.58607786693386
80,20,129.3619885612641
60,40,119.67987075298963
63,37,146.88357054545048
53,47,122.22840489423487
56,44,109.68923431618197
38,62,121.71955219623726
29,71,112.41662956341433
78,22,139.0864627884983
75,25,143.27920601689496
62,38,125.44009952311386
68,32,143.6656482277825
22,78,107.69270157271875
49,51,129.47672945873546
66,34,149.4525851972402
33,67,123.02772236250705
40,60,115.1110262170316
34,66,134.2321142767664
29,71,129.40255783943178
45,55,130.72595439262105
45,55,126.08097602667162
43,57,112.08140885940944
30,70,135.40978672795012
29,71,105.49610619279309
34,66,149.80999489524865
48,52,146.98915939277785
36,64,114.46449461349285
72,28,120.60368649539829
23,77,100.84390154451049
47,53,127.35325563734794
68,32,130.2996218230644
28,72,108.786861009034
54,46,112.72572149102476
33,67,115.8245841278662
28,72,102.22643295814386
66,34,107.98087095117795
74,26,131.29660219568356
43,57,135.2849491359115
60,40,121.36979556087412
26,74,122.1194648333755
44,56,97.73175937566253
37,63,117.6665705171319
69,31,142.29110805915192
47,53,128.01730043250072
69,31,136.08514291223415
69,31,124.88940987541935
68,32,121.25443480949627
47,53,108.1380681409263
66,34,134.7646989565019
58,42,114.78788078722796
63,37,124.14163834448998
21,79,106.6586171170263
49,51,152.1579300784831
34,66,107.22075147456812
43,57,125.03079858427286
57,43,129.66941274345567
42,58,106.57215048804807
27,73,112.43037870814602
35,65,139.16826287635024
61,39,137.27256079618823
46,54,123.61849382989409
68,32,127.66254751490563
27,73,82.70129167689227
47,53,140.47005820121262
80,20,118.09039893612767
74,26,148.09921266316002
74,26,165.63655353826226
31,69,93.841602585423
28,72,124.52676503062067
60,40,126.06703765896297
41,59,96.91783761281769
60,40,107.27998519327373
40,60,95.9769573963811
32,68,108.03640216744546
67,33,111.5736662250615
26,74,123.31875159463742
49,51,156.00163410788508
51,49,106.1945428594723
