site,treatment,week,replicate,biomass
Forest,Control,1,1,5.879048706895575
Meadow,Control,1,1,8.53964502103344
Wetland,Control,1,1,11.117416628298248
Grassland,Control,1,1,10.141016782849151
Forest,Fertilized,1,1,10.258575470321892
Meadow,Fertilized,1,1,15.430129973766562
Wetland,Fertilized,1,1,11.921832411978405
Grassland,Fertilized,1,1,10.469877530786931
Forest,Control,2,1,7.626294296212948
Meadow,Control,2,1,10.108676059800084
Wetland,Control,2,1,12.448163594878924
Grassland,Control,2,1,12.719627654114728
Forest,Fertilized,2,1,12.801542901188105
Meadow,Fertilized,2,1,14.22136543189024
Wetland,Fertilized,2,1,11.88831773049185
Grassland,Fertilized,2,1,18.573826273606155
Forest,Control,3,1,11.995700956458478
Meadow,Control,3,1,9.066765686740723
Wetland,Control,3,1,13.40271180312737
Grassland,Control,3,1,13.054417184544132
Forest,Fertilized,3,1,11.86435258802631
Meadow,Fertilized,3,1,15.56405017068341
Wetland,Fertilized,3,1,12.94799110338552
Grassland,Fertilized,3,1,15.54221754141772
Forest,Control,1,2,5.749921464301487
Meadow,Control,1,2,5.626613378515174
Wetland,Control,1,2,9.67557408898905
Grassland,Control,1,2,10.30674623567303
Forest,Fertilized,1,2,7.723726125976105
Meadow,Fertilized,1,2,14.507629842139853
Wetland,Fertilized,1,2,11.852928442953628
Grassland,Fertilized,1,2,12.409857034015458
Forest,Control,2,2,10.790251322090045
Meadow,Control,2,2,12.756266975066085
Wetland,Control,2,2,11.643162163274974
Grassland,Control,2,2,13.377280508200181
Forest,Fertilized,2,2,13.107835307075177
Meadow,Fertilized,2,2,13.876176578846557
Wetland,Fertilized,2,2,12.388074672520167
Grassland,Fertilized,2,2,14.239057997975234
Forest,Control,3,2,9.610586042158975
Meadow,Control,3,2,12.584165443960803
Wetland,Control,3,2,9.469207296863472
Grassland,Control,3,2,18.337911930677024
Forest,Fertilized,3,2,16.41592399660998
Meadow,Fertilized,3,2,13.753782833593302
Wetland,Fertilized,3,2,14.194230329401847
Grassland,Fertilized,3,2,16.066689292753562
Forest,Control,1,3,8.559930236672635
Meadow,Control,1,3,8.833261867056342
Wetland,Control,1,3,8.506637027989509
Grassland,Control,1,3,9.942906489302594
Forest,Fertilized,1,3,9.914259085417369
Meadow,Fertilized,1,3,14.737204568028915
Wetland,Fertilized,1,3,10.548458028681464
Grassland,Fertilized,1,3,16.03294120885908
Forest,Control,2,3,5.902494391539557
Meadow,Control,2,3,12.169227499272138
Wetland,Control,2,3,10.247708487689227
Grassland,Control,2,3,12.431883137487945
Forest,Fertilized,2,3,12.759278965519764
Meadow,Fertilized,2,3,12.995353093781395
Wetland,Fertilized,2,3,12.333585232661159
Grassland,Fertilized,2,3,12.962849233785823
Forest,Control,3,3,8.856417547048844
Meadow,Control,3,3,13.607057282808515
Wetland,Control,3,3,12.896419557258852
Grassland,Control,3,3,14.106008453461008
Forest,Fertilized,3,3,15.844534935759475
Meadow,Fertilized,3,3,20.10016937125429
Wetland,Fertilized,3,3,14.01793766788693
Grassland,Fertilized,3,3,12.381662248718374
Forest,Control,1,4,9.011477048924514
Meadow,Control,1,4,7.581598474835214
Wetland,Control,1,4,6.623982767065284
Grassland,Control,1,4,12.051142739393399
Forest,Fertilized,1,4,9.430453985897982
Meadow,Fertilized,1,4,9.558564575490928
Wetland,Fertilized,1,4,11.3626069594983
Grassland,Fertilized,1,4,12.722217275121912
Forest,Control,2,4,9.011528371799773
Meadow,Control,2,4,11.77056080225266
Wetland,Control,2,4,9.25867993641518
Grassland,Control,2,4,13.288753097037667
Forest,Fertilized,2,4,11.559026876362498
Meadow,Fertilized,2,4,14.663563927831394
Wetland,Fertilized,2,4,15.193678026298695
Grassland,Fertilized,2,4,15.870362981667606
Forest,Control,3,4,10.348136828937546
Meadow,Control,3,4,15.297615236902187
Wetland,Control,3,4,13.987007711924239
Grassland,Control,3,4,15.09679391901614
Forest,Fertilized,3,4,14.477463470222883
Meadow,Fertilized,3,4,14.744187847921257
Wetland,Fertilized,3,4,17.721304897060016
Grassland,Fertilized,3,4,15.799480825705746
Forest,Control,1,5,11.374665986033154
Meadow,Control,1,5,12.065221252370378
Wetland,Control,1,5,7.528599281799046
Grassland,Control,1,5,7.947158199386438
Forest,Fertilized,1,5,8.579186872601397
Meadow,Fertilized,1,5,12.513767418313058
Wetland,Fertilized,1,5,10.506616243075253
Grassland,Fertilized,1,5,12.304914801204534
Forest,Control,2,5,7.096762865469969
Meadow,Control,2,5,10.909944550382159
Wetland,Control,2,5,8.430191061085848
Grassland,Control,2,5,8.664116126823727
Forest,Fertilized,2,5,11.239546959424475
Meadow,Fertilized,2,5,15.837993218121532
Wetland,Fertilized,2,5,11.849306074783216
Grassland,Fertilized,2,5,16.215928644450067
Forest,Control,3,5,7.764234583421672
Meadow,Control,3,5,12.888876068950921
Wetland,Control,3,5,13.038814407886925
Grassland,Control,3,5,14.60230672433343
Forest,Fertilized,3,5,14.211352388297886
Meadow,Fertilized,3,5,14.718587983389247
Wetland,Fertilized,3,5,13.300591307932836
Grassland,Fertilized,3,5,14.951742418790174
