habitat,infected
forest,0
forest,1
forest,0
forest,0
forest,0
forest,0
forest,1
forest,1
forest,1
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,1
forest,0
forest,1
forest,0
forest,1
forest,1
forest,0
forest,1
forest,0
forest,0
forest,0
forest,0
forest,1
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,1
forest,0
forest,0
forest,1
forest,0
forest,0
forest,0
forest,0
forest,1
forest,1
forest,1
forest,0
forest,1
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,1
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,1
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
forest,0
grassland,1
grassland,1
grassland,1
grassland,0
grassland,0
grassland,0
grassland,1
grassland,0
grassland,1
grassland,1
grassland,0
grassland,1
grassland,1
grassland,0
grassland,1
grassland,1
grassland,1
grassland,1
grassland,0
grassland,0
grassland,1
grassland,1
grassland,0
grassland,1
grassland,0
grassland,1
grassland,1
grassland,1
grassland,1
grassland,0
grassland,1
grassland,0
grassland,0
grassland,0
grassland,1
grassland,0
grassland,0
grassland,1
grassland,1
grassland,0
grassland,1
grassland,0
grassland,0
grassland,0
grassland,1
grassland,0
grassland,1
grassland,1
grassland,0
grassland,0
grassland,1
grassland,0
grassland,1
grassland,0
grassland,0
grassland,1
grassland,1
grassland,1
grassland,1
grassland,1
grassland,0
grassland,0
grassland,0
grassland,1
grassland,0
grassland,1
grassland,0
grassland,0
grassland,0
grassland,1
grassland,1
grassland,0
grassland,1
grassland,0
grassland,1
grassland,1
grassland,1
grassland,0
grassland,1
grassland,0
